Housing_FX_limit,Housing_LLprovisioning,Housing_LTV,Housing_OtherCapital,Housing_RiskWeights,Housing_tax,Housing_CCYB,Housing_DSTI,Housing_DTI_LTI,Housing_Exposure_limit,Housing_credGr_limit,sum,country
0,0,0,0,2,0,0,2,0,0,0,4,AU
0,0,7,1,1,3,0,5,0,0,0,17,CA
0,0,5,0,1,1,0,3,0,0,0,10,DK
0,0,4,0,0,8,0,2,0,0,0,14,IS
0,0,0,0,0,2,0,0,0,0,0,2,JP
0,0,0,0,2,1,0,0,0,0,2,5,NZ
0,0,3,0,3,0,0,1,0,1,0,8,NO
0,0,2,0,3,2,0,2,0,0,0,9,SE
0,1,1,0,1,0,2,1,0,1,0,7,CH
0,0,0,0,2,5,0,1,2,0,0,10,GB
0,0,0,0,0,4,0,1,0,0,0,5,US
0,0,0,0,2,0,0,0,0,0,0,2,AT
0,0,0,0,2,4,0,0,0,0,0,6,BE
0,0,1,0,3,4,0,0,0,0,0,8,FI
0,0,0,0,1,2,0,0,0,0,0,3,FR
0,0,0,0,2,3,0,0,0,0,0,5,DE
0,4,0,0,5,1,0,0,0,0,0,10,GR
0,0,2,0,2,19,0,0,0,0,2,25,IE
NA,0,2,0,2,1,0,0,0,NA,NA,5,IT
0,0,2,0,4,0,0,0,0,0,0,6,LU
0,0,6,0,3,2,0,3,0,0,0,14,NL
0,0,0,0,4,0,0,2,0,0,0,6,PT
0,0,1,0,2,3,0,2,0,0,0,8,ES
0,0,14,0,0,1,0,11,0,0,0,26,CN
0,0,13,0,1,3,0,5,0,1,0,23,HK
0,6,1,0,5,0,0,0,0,1,0,13,IN
0,0,3,0,0,0,0,0,0,0,0,3,ID
0,1,13,0,2,4,0,13,0,0,0,33,KR
0,0,4,0,2,6,0,1,0,3,0,16,MY
0,0,2,0,0,0,0,0,0,4,0,6,PH
0,0,11,0,0,12,0,8,0,1,0,32,SG
0,0,2,0,3,6,0,0,0,0,0,11,TH
0,0,1,0,0,0,0,1,0,0,0,2,CO
0,1,0,0,0,0,0,0,0,0,0,1,MX
0,0,0,0,3,0,0,0,0,0,0,3,BG
0,0,1,0,4,0,0,1,0,0,0,6,HR
0,0,2,0,1,1,0,0,0,0,1,5,CZ
0,0,2,0,4,7,0,1,0,0,0,14,EE
1,0,6,0,3,6,0,4,0,0,0,20,HU
0,0,3,0,3,1,0,0,1,0,0,8,LV
0,0,1,0,2,1,0,2,0,0,0,6,LT
0,0,4,0,3,2,0,4,0,0,0,13,PL
0,0,2,0,2,2,0,3,0,0,0,9,RO
0,0,3,0,2,0,0,2,0,0,0,7,SK
0,0,1,0,1,1,0,1,0,0,0,4,SI
0,2,1,0,3,0,0,1,0,0,0,7,IL
0,0,3,0,0,0,0,0,0,0,0,3,SA
0,0,1,0,0,0,0,0,0,0,0,1,AE
0,0,0,0,1,0,0,0,0,0,0,1,RU
0,0,0,0,1,0,0,0,0,0,0,1,ZA
0,0,0,0,3,0,0,0,0,0,0,3,AR
0,0,5,0,0,0,0,3,0,0,0,8,BR
0,0,1,0,0,0,0,0,0,0,0,1,CL
0,0,0,0,0,0,0,0,0,0,0,0,PE
0,0,2,0,1,0,0,2,0,1,0,6,RS
